Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
1,0.0.1,Grossmann Kaspar ( Megander ),Grossmann,Kaspar ( Megander ),1495-01-01,1545-08-18,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an der Universität Basel', 'MA', 'Spitalprediger in Zürich', 'Lehrer an der Prophezei in Zürich', 'Professor der Theologie', 'Entlassung ( Sakramentsstreit )', 'Chorherr am Münster in Zürich']","['1518-01-01', '1524-01-01', '1525-01-01', '1528-01-01', '1537-01-01', '1538-01-01']","['1528-01-01', '1545-01-01']",[]
2,0.0.2,Hofmeister Sebastian ( Oeconomus ),Hofmeister,Sebastian ( Oeconomus ),,1533-06-09,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium im Barfüsserkloster Schaffhausen', 'Studium in den Franziskanerorden von Frankfurt a. M. und Paris', 'Dr. theol. Paris', 'Lesemeister im Franziskanerkloster Zürich', 'Lesemeister im Franziskanerkloster Konstanz', 'Prediger Luzern', 'Prediger in Kloster und Kirche Schaffhausen', 'Pfarrer am Fraumünster Zürich', 'Professor der hebräischen Sprache', 'Demission', 'Pfarrer Zofingen']","['1520-01-01', '1522-01-01', '1525-01-01', '1528-01-01']","['1525-01-01', '1528-01-01', '1533-01-01']",[]
3,0.0.3,Müller Johannes ( Rhellicanus ),Müller,Johannes ( Rhellicanus ),1478-01-01,1542-04-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Universität Krakau', 'Professor der Philosophie und der griechischen Sprache', 'Professor der griechischen Sprache', 'Praepositus des Klosters', 'Ruf nach Zürich', 'Vorsteher der neugegründeten Theologenschule Zürich', 'Zweiter Pfarrer Biel']","['1528-01-01', '1533-01-01', '1538-01-01', '1541-01-01']","['1538-01-01', '1541-01-01', '1542-01-01']",[]
4,0.0.4,Sulzer Simon ( Sulcerus ),Sulzer,Simon ( Sulcerus ),1508-09-22,1585-06-22,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Schulen in Bern und Luzern', 'Studium an den Universitäten Strassburg und Basel', 'Magister Phil. Basel Geistlicher', 'Professor der Philosophie', 'Professor der Philosophie Theologie und der hebräischen Sprache', 'Professor der Theologie', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle', 'Pfarrer Bern ( Münster )', 'Pfarrer Basel ( St. Peter )', 'Professor Basel', 'Pfarrer und Antistes Basel ( Münster )', 'Rektor Basel', 'Rektor der Universität Basel']","['1537-01-01', '1534-01-01', '1538-01-01', '1544-01-01', '1549-01-01', '1552-01-01', '1553-01-01', '1556-01-01', '1562-01-01', '1568-01-01', '1575-01-01']","['1536-01-01', '1542-01-01', '1544-01-01', '1548-01-01', '1552-01-01', '1553-01-01', '1585-01-01']",[]
5,0.0.5,Grynäus Thomas,Grynäus,Thomas,1512-01-01,1564-08-02,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Studium an den Universitäten Heidelberg und Basel', 'MA', 'Professor der Philosophie', 'Professor der griechischen Sprache', 'Praepositus des Klosters', 'Entlassung ( Sakramentsstreit )', 'Professor am Pädagogium Basel', 'Oberster evangelischer Prediger in Röteln ( Markgrafschaft Baden )']","['1548-01-01', '1536-01-01', '1538-01-01', '1544-01-01', '1546-01-01', '1547-01-01', '1556-01-01']","['1546-01-01', '1556-01-01', '1564-01-01']",[]
6,0.0.6,Storch Jakob ( Pelargus ),Storch,Jakob ( Pelargus ),,,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Professor der hebräischen Sprache', 'Entlassung', 'in Basel']","['1542-01-01', '1546-01-01']",[],[]
7,0.0.7,Tillmann Bernhard ( Telamonius ),Tillmann,Bernhard ( Telamonius ),1521-01-01,1603-03-30,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Universität Paris', 'Professor der Philosophie', 'Professor auch der Theologie', 'Demission', 'Kirchmeier Bern', 'Gerichtsschreiber Bern', 'Vogt Nyon', 'Kastellan Wimmis', 'Schaffner im Frienisberghaus']","['1542-01-01', '1544-01-01', '1558-01-01', '1566-01-01', '1572-01-01', '1579-01-01', '1590-01-01']","['1548-01-01', '1584-01-01']",[]
8,0.0.8,Blauner Adrian,Blauner,Adrian,,1581-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule in Bern ( ? ) und an der Universität Marburg VDM Bern ( ? )', 'Professor der hebräischen Sprache', 'Promotion an eine Helferstelle', 'Helfer in Büren', 'Pfarrer in Koppigen', 'Pfarrer in Zweisimmen', 'Pfarrer in Spiez', 'Professor der Theologie in Lausanne']","['1546-01-01', '1547-01-01', '1553-01-01', '1559-01-01']","['1547-01-01', '1553-01-01', '1559-01-01', '1572-01-01']",['Vater von Professor Gabriel Blauner ( Nr. 16 )']
9,0.0.9,Pfister Niklaus ( Artopoeus ),Pfister,Niklaus ( Artopoeus ),,1553-12-15,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe']","['Schulmeister Chur', 'Schulmeister Thun', 'Rektor Chur', 'Schulmeister Brugg', 'Schulmeister Bern', 'Professor der griechischen und der hebräischen Sprache', 'Praepositus des Klosters', 'Versetzung an die Lateinschule', 'Schulmeister Lateinschule Bern']","['1527-01-01', '1535-01-01', '1539-01-01', '1542-01-01', '1546-01-01', '1553-01-01']","['1535-01-01', '1539-01-01', '1542-01-01', '1546-01-01', '1548-01-01', '1553-01-01']",[]
10,0.0.10,von Rümlang Eberhard ( a Rumlang ),von Rümlang,Eberhard ( a Rumlang ),,1551-10-15,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Universität Basel', 'Stadtschreiber Thun', 'Seckelschreiber Bern', 'Schulmeister Lateinschule Bern', 'Professor der Theologie', 'Entlassung']","['1526-01-01', '1530-01-01', '1546-01-01', '1548-01-01', '1551-01-01']","['1530-01-01', '1546-01-01', '1549-01-01']",[]
11,0.0.11,Müslin Wolfgang ( Musculus ),Müslin,Wolfgang ( Musculus ),1497-09-08,1563-08-30,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Schulen in Rappoltsweiler Colmar Schlettstadt Klosterschule Lixheim ( Elsass ) ( Benediktiner )', 'bis', 'Kantor und Prediger im Kloster Lixheim', 'Nach dem Übertritt zum Protestantismus Arbeit als Weber und Schanzenbauer Strassburg', 'Hilfsprediger in Darlitzheim bei Strassburg', 'Helfer Strassburg ( Münster )', 'Prediger Augsburg', 'Aufenthalt in Zürich', 'Professor der Theologie', 'Tod']","['1527-01-01', '1528-01-01', '1529-01-01', '1531-01-01', '1548-01-01', '1549-01-01', '1563-01-01']","['1528-01-01', '1531-01-01', '1548-01-01', '1549-01-01']",['Schwiegervater von Professor Valentin Rebmann ( Nr. 14 )']
12,0.0.12,Marti Benedikt ( Aretius ),Marti,Benedikt ( Aretius ),1522-01-01,1574-03-22,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an den Hohen Schulen Bern und Strassburg und an der Universität Marburg VDM Bern', 'Professor Marburg', 'Schulmeister Lateinschule Bern', 'Professor der griechischen und der hebräischen Sprache', 'Professor der Theologie', 'Praepositus des Klosters', 'Tod']","['1548-01-01', '1549-01-01', '1553-01-01', '1563-01-01', '1574-01-01']","['1549-01-01', '1553-01-01', '1563-01-01']",[]
13,0.0.13,Schneeberger Peter ( Chiorus ),Schneeberger,Peter ( Chiorus ),1535-01-01,1619-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Versetzung an die Lateinschule Bern', 'Studium an den Hohen Schulen Bern und Zürich und an der Universität Marburg', 'MA VDM Bern', 'Professor der Philosophie', 'Professor der griechischen Sprache', 'Professor der hebräischen Sprache', 'Praepositus des Klosters', 'Entlassung ( altershalber )', 'Schulmeister und Praepositus Lateinschule Bern']","['1574-01-01', '1558-01-01', '1586-01-01', '1598-01-01', '1591-01-01', '1612-01-01']","['1574-01-01', '1591-01-01', '1612-01-01', '1586-01-01', '1598-01-01']",[]
14,0.0.14,Rebmann Valentin ( Ampelander ),Rebmann,Valentin ( Ampelander ),,1587-09-21,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an den Hohen Schulen Bern und Zürich', 'VDM Bern', 'Provisor Brugg', 'Schulmeister Zofingen', 'Pfarrer Frauenkappelen', 'Professor der griechischen und der hebräischen Sprache', 'Professor der griechischen Sprache', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle', 'Pfarrer Bremgarten']","['1553-01-01', '1557-01-01', '1563-01-01', '1578-01-01', '1573-01-01', '1580-01-01']","['1557-01-01', '1563-01-01', '1573-01-01', '1578-01-01', '1587-01-01']",['Schwiegersohn von Professor Wolfgang Müslin ( Nr. 11 )']
15,0.0.15,Amport Christian ( ad Portum ),Amport,Christian ( ad Portum ),,1590-03-08,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an den Hohen Schulen Bern und Zürich und an der Universität Marburg VDM Bern', 'Schulmeister in Zofingen', 'Schulmeister in Bern', 'Professor der hebräischen und der griechischen Sprache', 'Professor der griechischen Sprache und Theologie', 'Professor der griechischen Sprache', 'Professor der Theologie', 'Praepositus des Klosters', 'Tod']","['1560-01-01', '1566-01-01', '1573-01-01', '1574-01-01', '1575-01-01', '1578-01-01', '1590-01-01']","['1566-01-01', '1573-01-01', '1590-01-01']",[]
16,0.0.16,Blauner Gabriel ( Blaunerus ),Blauner,Gabriel ( Blaunerus ),1547-01-01,1577-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an den Universitäten von Heidelberg und Leipzig', 'Professor der Philosophie', 'Tod']","['1574-01-01', '1577-01-01']",[],['Sohn von Professor Adrian Blauner ( Nr. 8 )']
17,0.0.17,Hortin Johannes ( Hortinus ),Hortin,Johannes ( Hortinus ),,1597-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Universität Heidelberg', 'Professor der hebräischen Sprache', 'Entlassung ( Ehebruch )', 'Professor Lausanne']","['1574-01-01', '1597-01-01']",[],[]
18,0.0.18,Rust Thüring ( Rustius ),Rust,Thüring ( Rustius ),,1585-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an den Universitäten Marburg und Heidelberg Geistlicher', 'Pfarrer Ferenbalm', 'Pfarrer Täuffelen', 'Professor der Theologie', 'Promotion auf eine Pfarrstelle', 'Pfarrer Sigriswil', 'Dekan des Kapitels Thun']","['1567-01-01', '1568-01-01', '1574-01-01', '1575-01-01', '1576-01-01', '1578-01-01']","['1568-01-01', '1574-01-01', '1585-01-01']",[]
19,0.0.19,Marcuard Blasius ( Marcuardus ),Marcuard,Blasius ( Marcuardus ),,1577-09-25,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'lehrtaetigkeit_unibe']","['Prinzipal des Collège Lausanne', 'Professor Lausanne', 'Rektor der Akademie Lausanne', 'Professor der Theologie', 'Tod']","['1559-01-01', '1564-01-01', '1574-01-01', '1576-01-01', '1577-01-01']","['1563-01-01', '1576-01-01']",[]
20,0.0.20,Plepp Salomon ( Pleppius ),Plepp,Salomon ( Pleppius ),,1583-10-15,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an den Universitäten Paris und Basel VDM Bern ( ? )', 'Schulmeister Zofingen', 'Professor der Philosophie', 'Tod']","['1575-01-01', '1578-01-01', '1583-01-01']",['1578-01-01'],[]
21,0.0.21,Hübner Peter ( Hybnerus ),Hübner,Peter ( Hybnerus ),1550-01-01,1630-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern ( ? ) und an der Universität Heidelberg VDM Bern ( ? )', 'Schulmeister Burgdorf', 'Professor der griechischen Sprache', 'Praepositus der Lateinschule', 'Versetzung an die Lateinschule', 'Promotion auf eine Helferstelle', 'Gymnasiarch an der Lateinschule Bern', 'Helfer Bern ( Münster )', 'Pfarrer Lützelflüh', 'Pfarrer Diessbach bei Büren']","['1575-01-01', '1580-01-01', '1591-01-01', '1586-01-01', '1595-01-01', '1612-01-01', '1617-01-01']","['1580-01-01', '1586-01-01', '1591-01-01', '1612-01-01', '1616-01-01', '1628-01-01']",['Grossvater von Professor Johann Rudolf Hübner ( Nr. 41 )']
22,0.0.22,Hasler Johannes ( Haslerus ),Hasler,Johannes ( Haslerus ),1548-01-01,,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium in Bern ( Hohe Schule ) an den Universitäten Basel und Heidelberg in Lausanne ( Akademie ) an den Universitäten Leipzig Strassburg und Freiburg i. Br.', 'MA Strassburg', 'Dr. med. Freiburg i. Br.', 'Professor der Medizin Freiburg i. Br.', 'Hauslehrer beim Palatin von Podolien', 'Polen', 'Stadtarzt Bern', 'Professor der Philosophie', 'Entlassung', 'Arzt in Wilna Litauen']","['1575-01-01', '1576-01-01', '1582-01-01', '1583-01-01', '1590-01-01']","['1582-01-01', '1583-01-01']",['Schwiegersohn von Professor Hermann Dürholz ( Nr. 27 )']
23,0.0.23,von Bergen Ulrich ( Montanus ),von Bergen,Ulrich ( Montanus ),,1595-11-06,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Schulmeister Zofingen', 'Pfarrer in Oberburg', 'Helfer am Münster in Bern', 'Professor der Theologie', 'Praepositus des Klosters', 'Tod']","['1584-01-01', '1585-01-01', '1589-01-01', '1590-01-01', '1595-01-01']","['1585-01-01', '1589-01-01', '1590-01-01', '1595-01-01']",[]
24,0.0.24,Trog Ulrich ( Trogus ),Trog,Ulrich ( Trogus ),,1611-12-11,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Universität Heidelberg', 'VDM Bern', 'Pfarrer Köniz', 'Professor der Philosophie', 'Praepositus des Klosters', 'Promotion auf eine Helferstelle', 'Helfer Bern ( Münster )', 'Pfarrer Bern ( Münster )']","['1588-01-01', '1590-01-01', '1595-01-01', '1598-01-01', '1604-01-01']","['1590-01-01', '1598-01-01', '1604-01-01', '1611-01-01']",[]
25,0.0.25,Haberreuter Jakob,Haberreuter,Jakob,,1613-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Schulmeister Brugg', 'Helfer Büren', 'Pfarrer Nidau', 'Professor der Theologie', 'Entlassung und Promotion auf eine Pfarrstelle', 'Pfarrer Bolligen ( Entlassung )', 'Pfarrer Seeberg ( Entlassung )']","['1585-01-01', '1587-01-01', '1591-01-01', '1595-01-01', '1598-01-01', '1599-01-01', '1608-01-01']","['1587-01-01', '1591-01-01', '1595-01-01', '1605-01-01', '1613-01-01']",[]
26,0.0.26,Seelmatter Balthasar,Seelmatter,Balthasar,,1628-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Schulmeister Zofingen', 'Professor der griechischen Sprache', 'Professor der hebräischen und der griechischen Sprache', 'Versetzung an die Lateinschule Bern', 'Schulmeister Lateinschule Bern', 'Pfarrer Mandach']","['1590-01-01', '1596-01-01', '1597-01-01', '1598-01-01', '1601-01-01']","['1596-01-01', '1601-01-01', '1628-01-01']",[]
27,0.0.27,Dürholz Hermann ( Lignaridus ),Dürholz,Hermann ( Lignaridus ),,1628-01-01,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Universität Genf und an verschiedenen deutschen Universitäten', 'Professor in Genf ( Theologie )', 'Professor der Theologie', 'Tod']","['1596-01-01', '1598-01-01', '1628-01-01']",['1598-01-01'],['Schwiegervater von Professor Johannes Hasler ( Nr. 22 )']
28,0.0.28,Henzi Niklaus ( Henzius ),Henzi,Niklaus ( Henzius ),1571-08-24,1635-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Akademie Lausanne', 'VDM Bern', 'Schulmeister Aarau', 'Professor der griechischen Sprache', 'Praepositus des Klosters', 'Tod']","['1596-01-01', '1598-01-01', '1620-01-01', '1635-01-01']","['1598-01-01', '1635-01-01']",['Urgrossvater von Professor Samuel Henzi ( Nr. 46 )']
29,0.0.29,Herlin Ulrich ( Johann Ulrich ) ( Herlinus ),Herlin,Ulrich ( Johann Ulrich ) ( Herlinus ),,1611-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'Studien im Ausland', 'VDM Bern', 'Schulmeister Brugg', 'Pfarrer Wynau', 'Professor der griechischen Sprache', 'Professor der Philosophie', 'Praepositus des Klosters', 'Tod']","['1594-01-01', '1597-01-01', '1598-01-01', '1599-01-01', '1611-01-01']","['1597-01-01', '1598-01-01', '1611-01-01']",[]
30,0.0.30,Zeender Emanuel ( Zeenderus ),Zeender,Emanuel ( Zeenderus ),,,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'und Studien im Ausland', 'VDM Bern', 'Provisor Lateinschule Bern', 'Schulmeister und Praepositus Lateinschule Bern', 'Professor der Philosophie', 'Professor der Theologie und der hebräischen Sprache', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle ( nicht angenommen ) Demission', 'Aufenthalt in Biel', 'Ohne Anstellung in Bern', 'Pfarrer Münsingen', 'Pfarrer Gerzensee']","['1600-01-01', '1601-01-01', '1611-01-01', '1612-01-01', '1618-01-01', '1619-01-01', '1621-01-01', '1624-01-01']","['1601-01-01', '1610-01-01', '1618-01-01', '1619-01-01', '1621-01-01', '1624-01-01', '1635-01-01']",[]
31,0.0.31,Rütimeyer Markus ( Rütimeyerus ),Rütimeyer,Markus ( Rütimeyerus ),1580-01-01,1647-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an den Universitäten Herborn Marburg Heidelberg Leyden Franeker Paris', 'Dr. theol. Marburg', 'VDM Bern', 'Pfarrer Seedorf', 'Helfer Bern ( Münster )', 'Professor der Philosophie', 'Rektor der Hohen Schule', 'Promotion auf eine Helferstelle', 'Pfarrer Bern ( Münster )']","['1609-01-01', '1610-01-01', '1612-01-01', '1613-01-01', '1616-01-01', '1617-01-01', '1625-01-01']","['1612-01-01', '1613-01-01', '1617-01-01', '1625-01-01', '1645-01-01']",[]
32,0.0.32,Lüthard Christoph ( Luthardus ),Lüthard,Christoph ( Luthardus ),1590-01-01,1663-02-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Universität Heidelberg', 'VDM Bern', 'Schulmeister Thun', 'Professor der Philosophie', 'Professor der Theologie', 'Rektor der Hohen Schule', 'Tod']","['1615-01-01', '1617-01-01', '1628-01-01', '1629-01-01', '1663-01-01']",['1618-01-01'],[]
33,0.0.33,Berner Daniel ( Bernerus ),Berner,Daniel ( Bernerus ),,1628-01-01,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule Bern und an der Universität Heidelberg', 'VDM Bern', 'Provisor an der Lateinschule Bern', 'Professor der hebräischen Sprache und der catecheti-schen Theologie', 'Tod']","['1614-01-01', '1619-01-01', '1628-01-01']",['1618-01-01'],[]
34,0.0.34,Herlin David ( Herlinus ),Herlin,David ( Herlinus ),,1645-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Universität Basel', 'VDM Bern', 'Pfarrer Unterseen', 'Pfarrer Hindelbank', 'Pfarrer Rüderswil', 'Helfer Bern ( Münster )', 'Professor der Philosophie', 'Promotion auf eine Pfarrstelle', 'Pfarrer Rüegsau']","['1624-01-01', '1625-01-01', '1627-01-01', '1628-01-01', '1633-01-01']","['1625-01-01', '1627-01-01', '1628-01-01', '1645-01-01']",[]
35,0.0.35,Maser David,Maser,David,1582-01-01,1661-06-06,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an den Universitäten Basel und Marburg', 'VDM Bern', 'Helfer Thun', 'Pfarrer Zweisimmen', 'Schulmeister Lateinschule Bern und deren Praepositus', 'Professor der hebräischen Sprache und der catechetischen Theologie', 'Praepositus des Klosters', 'Demission ( schon seit', 'durch Stellvertreter ersetzt )']","['1609-01-01', '1611-01-01', '1613-01-01', '1628-01-01', '1635-01-01', '1661-01-01', '1654-01-01']","['1611-01-01', '1613-01-01', '1628-01-01', '1661-01-01', '1643-01-01']",[]
36,0.0.36,Schoppius Conrad,Schoppius,Conrad,,,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'austritt_unibe', 'lehrtaetigkeit_unibe']","['bis', 'Professor Heidelberg', 'Ausserordentlicher Professor der Eloquenz', 'Rektor der Hohen Schule']","['1629-01-01', '1634-01-01']",['1634-01-01'],[]
37,0.0.37,Haberreuter Samuel,Haberreuter,Samuel,,1655-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Pfarrer Neuenegg', 'Professor Lausanne', 'Pfarrer Herzogenbuchsee', 'Professor der Philosophie', 'Praepositus der Lateinschule', 'Promotion auf eine Pfarrstelle', 'Erster Pfarrer Thun', 'Dekan des Kapitels Thun']","['1622-01-01', '1623-01-01', '1624-01-01', '1628-01-01', '1633-01-01', '1643-01-01', '1645-01-01', '1646-01-01']","['1624-01-01', '1628-01-01', '1633-01-01', '1645-01-01', '1655-01-01']",[]
38,0.0.38,Haller Berchtold ( Hallerus ),Haller,Berchtold ( Hallerus ),1601-01-01,1659-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Provisor an der Lateinschule Bern', 'Professor der griechischen Sprache und der praktischen Philosophie', 'Praepositus des Klosters', 'Demission']","['1632-01-01', '1635-01-01', '1643-01-01', '1659-01-01']","['1635-01-01', '1654-01-01']",[]
39,0.0.39,Rohr Samuel,Rohr,Samuel,1618-01-01,1658-03-24,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern und an der Universität Groningen', 'VDM Bern', 'Provisor Lateinschule Bern', 'Schulmeister Bern', 'Professor der Philosophie', 'Praepositus der Lateinschule', 'Praepositus des Klosters', 'Tod']","['1642-01-01', '1643-01-01', '1645-01-01', '1654-01-01', '1658-01-01']","['1643-01-01', '1645-01-01', '1654-01-01', '1658-01-01']",[]
40,0.0.40,Müller Niklaus ( Molitor ),Müller,Niklaus ( Molitor ),1624-01-01,1691-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Hohen Schule Bern', 'VDM Bern', 'Pfarrer Wählern', 'Pfarrer Belp', 'Ausserordentlicher Professor der hebräischen Sprache', 'Praepositus der Lateinschule', 'Promotion auf eine Helferstelle', 'Helfer Bern ( Münster )', 'Pfarrer Bern ( Münster )', 'Pfarrer Gerzensee']","['1649-01-01', '1648-01-01', '1653-01-01', '1654-01-01', '1658-01-01', '1662-01-01', '1672-01-01']","['1653-01-01', '1654-01-01', '1658-01-01', '1662-01-01', '1672-01-01', '1691-01-01']",[]
